Timestamp,Date,Blast_No,No_of_Holes,Explosion,Per_Hole,Depth,No_of_Rows,Spacing,Seam_location,Vibrometer,Distance,PPV_actual,PPV_predicted,PPV_physics,SD,SD_TQ,TQ,Blast_Timing,Frequency,MAPE,Source
2026-05-03T01:33:09.488895,2026-05-03,1,90,3000.0,35.0,5.0,4,4.5,Seam Top-5,20697,420.0,3.5,1.6642,1.6642,70.993,7.4833,3150.0,14:30,8.0,52.45,Field
2026-05-04T10:44:59.854206,2026-05-04,1,90,3000.0,35.0,5.0,4,4.5,Seam Top-5,20697,420.0,3.5,2.1893,1.6642,70.993,7.4833,3150.0,14:30,8.0,37.45,Field
2026-05-04T10:57:05.940895,2026-05-04,1,90,3000.0,35.0,5.0,4,4.5,Seam Top-5,20697,420.0,3.5,2.1893,1.6642,70.993,7.4833,3150.0,14:30,8.0,37.45,Field
