Feature,N,Pearson_R2,PowerLaw_R2,Spearman_rho,a,b
Total Charge TQ (kg),44,0.1945,0.2255,-0.4028,3119.6494,-0.8446
Spacing (m),44,0.1893,0.1398,0.4556,0.0553,2.7468
No. of Holes,44,0.1146,0.1205,-0.3796,93.5115,-0.7518
Distance (m),44,0.1444,0.0571,-0.471,3173.3037,-1.1396
Charge per Hole Q (kg),44,0.0269,0.0,-0.2262,10.9719,-0.336
Depth of Hole (m),44,0.0052,0.0,-0.0118,4.2917,-0.1808
Scaled Distance SD (m/kg⁰·⁵),44,0.0305,0.0,-0.1569,12.6579,-0.3251
Scaled Distance SD_TQ,44,0.0068,0.0,0.2089,2.0266,0.2321
Frequency (Hz),44,0.0321,0.0,0.2048,2.149,0.2027
